place_id,name,address,phone,rating,review_count,price_level,types,website,latitude,longitude,business_status,source,source_location,source_query,fetched_at,city,state,high_demand_category,review_volume,is_affordable,high_rating,urban_location,on_ubereats,on_grubhub,vertical,lead_score,score_breakdown,priority,contact_by_date,expected_conversion_prob
ChIJmx3iW_GAhYARrlV9H2vyE-E,Golden Boy Pizza,"542 Green St, San Francisco, CA 94133, USA",(415) 982-9738,4.7,4769,1,"establishment,food,point_of_interest,restaurant",http://www.goldenboypizza.com/,37.7997625,-122.4080927,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T17:15:51.778562,San Francisco,CA,False,High,True,True,True,True,False,restaurants,80,"{'Competitor Platform': 25, 'Review Volume': 20, 'Urban Location': 15, 'High Rating': 10, 'Affordable Price': 10}",High,2026-02-04,0.4
ChIJo3CA8_OAhYARhhs-L5RKHF4,Il Casaro Pizzeria,"348 Columbus Ave, San Francisco, CA 94133, USA",(415) 677-9455,4.6,2401,2,"establishment,food,point_of_interest,restaurant",https://www.ilcasaropizzeria.com/,37.7984717,-122.4073281,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T17:15:52.291992,San Francisco,CA,False,High,True,True,True,False,True,restaurants,80,"{'Competitor Platform': 25, 'Review Volume': 20, 'Urban Location': 15, 'High Rating': 10, 'Affordable Price': 10}",High,2026-02-04,0.25
ChIJX8bJu7l_j4ARy29utVyaOLM,Long Bridge Pizza Company,"2347 3rd St, San Francisco, CA 94107, USA",(415) 829-8999,4.6,1149,2,"establishment,food,point_of_interest,restaurant",http://www.longbridgepizza.com/,37.7594917,-122.3881833,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T17:15:52.696861,San Francisco,CA,False,High,True,True,True,False,True,restaurants,80,"{'Competitor Platform': 25, 'Review Volume': 20, 'Urban Location': 15, 'High Rating': 10, 'Affordable Price': 10}",High,2026-02-04,0.25
ChIJHXHcEvGAhYARQPuHNN78s78,Tony's Pizza Napoletana,"1570 Stockton St, San Francisco, CA 94133, USA",(415) 835-9888,4.5,9777,2,"establishment,food,point_of_interest,restaurant",http://tonyspizzanapoletana.com/,37.8003815,-122.4090457,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T17:15:53.138771,San Francisco,CA,False,High,True,True,True,True,True,restaurants,80,"{'Competitor Platform': 25, 'Review Volume': 20, 'Urban Location': 15, 'High Rating': 10, 'Affordable Price': 10}",High,2026-02-04,0.4
ChIJCS_HTDq7j4ARskXdL5usfsU,Pizzeria Delfina - Palo Alto,"651 Emerson St, Palo Alto, CA 94301, USA",(650) 353-2208,4.4,1489,2,"bar,establishment,food,point_of_interest,restaurant",https://www.pizzeriadelfina.com/location/palo-alto/,37.4434222,-122.1604222,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T17:15:53.595773,San Francisco,CA,False,High,True,True,True,True,False,restaurants,80,"{'Competitor Platform': 25, 'Review Volume': 20, 'Urban Location': 15, 'High Rating': 10, 'Affordable Price': 10}",High,2026-02-04,0.4
ChIJJwTDkk2Pj4AR-RdShJTTRXE,Slice House by Tony Gemignani,"135 Parrott St, San Leandro, CA 94577, USA",(510) 281-0725,4.4,421,2,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",https://slicehouse.com/,37.7220987,-122.1535334,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T17:15:53.910501,San Francisco,CA,False,Medium,True,True,True,True,True,restaurants,75,"{'Competitor Platform': 25, 'Review Volume': 15, 'Urban Location': 15, 'High Rating': 10, 'Affordable Price': 10}",High,2026-02-04,0.4
ChIJk772Tbafj4ARBkP3uQ9BPIU,Slice House by Tony Gemignani,"1000 El Camino Real C, Belmont, CA 94002, USA",(650) 394-4118,4.5,300,1,"establishment,food,meal_delivery,meal_takeaway,point_of_interest,restaurant",http://slicehouse.com/,37.5198889,-122.275825,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T17:15:54.443588,San Francisco,CA,False,Medium,True,True,True,True,True,restaurants,75,"{'Competitor Platform': 25, 'Review Volume': 15, 'Urban Location': 15, 'High Rating': 10, 'Affordable Price': 10}",High,2026-02-04,0.4
ChIJaQj0tUd-j4ARv2dpLbR51C0,The Pizza Shop,"3104 24th St, San Francisco, CA 94110, USA",(415) 824-1840,4.6,634,1,"establishment,food,point_of_interest,restaurant",https://order.online/business/the-pizza-shop-388346,37.7526168,-122.4143518,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T17:15:54.743661,San Francisco,CA,False,High,True,True,True,False,False,restaurants,55,"{'Review Volume': 20, 'Urban Location': 15, 'High Rating': 10, 'Affordable Price': 10}",Medium,2026-02-11,0.25
ChIJJf_0iciAj4ARFEgEI49mTNg,Forge Rockridge,"5900 College Ave, Oakland, CA 94618, USA",(510) 268-3200,4.3,1203,2,"establishment,food,point_of_interest,restaurant",https://www.forgerockridge.com/,37.8472911,-122.2518918,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T17:15:55.258604,San Francisco,CA,False,High,True,True,True,False,True,restaurants,80,"{'Competitor Platform': 25, 'Review Volume': 20, 'Urban Location': 15, 'High Rating': 10, 'Affordable Price': 10}",High,2026-02-04,0.25
ChIJUdK79txhhYAR1HzbPgpKYIg,panCoast Pizza,"1516 S Main St, Walnut Creek, CA 94596, USA",(925) 954-1178,4.5,467,2,"establishment,food,meal_delivery,point_of_interest,restaurant",http://pancoastpizza.com/,37.8902065,-122.0572641,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T17:15:55.664625,San Francisco,CA,False,Medium,True,True,True,False,True,restaurants,75,"{'Competitor Platform': 25, 'Review Volume': 15, 'Urban Location': 15, 'High Rating': 10, 'Affordable Price': 10}",High,2026-02-04,0.25
